Chassis ID,Chassis Material,Chassis Weight (kg),Wheelbase (mm),Track Width Front (mm),Track Width Rear (mm),Chassis Stiffness (N/m),Suspension Travel Front (mm),Suspension Travel Rear (mm),Ground Clearance (mm)
1,Carbon Fiber,500,3200,1500,1480,50000,100,120,80
2,Aluminum Alloy,550,3150,1520,1500,45000,110,125,85
3,Steel,600,3100,1540,1520,40000,120,130,90
4,Titanium Alloy,480,3250,1480,1460,55000,95,115,75
5,Carbon Fiber,520,3220,1490,1470,48000,105,123,82
6,Aluminum Alloy,530,3180,1510,1490,47000,108,127,84
7,Steel,580,3130,1530,1510,42000,115,128,87
8,Titanium Alloy,490,3270,1470,1450,56000,98,118,77
9,Carbon Fiber,510,3230,1485,1465,49000,102,121,81
10,Aluminum Alloy,540,3170,1505,1485,46000,112,126,83
11,Steel,590,3120,1525,1505,41000,118,132,88
12,Titanium Alloy,500,3290,1465,1445,57000,100,117,76
13,Carbon Fiber,525,3210,1495,1475,47500,108,124,82
14,Aluminum Alloy,555,3160,1515,1495,45500,114,129,85
15,Steel,595,3110,1535,1515,41500,120,133,89
16,Titanium Alloy,505,3300,1460,1440,58000,102,119,77
17,Carbon Fiber,530,3200,1500,1480,48000,110,125,83
18,Aluminum Alloy,560,3150,1520,1500,46000,115,130,86
19,Steel,610,3080,1560,1540,39000,130,140,95
20,Titanium Alloy,470,3350,1440,1420,60000,90,110,70
21,Carbon Fiber,515,3240,1475,1455,48500,106,122,80
22,Aluminum Alloy,525,3190,1500,1480,47500,108,126,82
23,Steel,570,3140,1520,1500,43000,118,129,88
24,Titanium Alloy,485,3280,1465,1445,56500,97,116,75
25,Carbon Fiber,520,3220,1490,1470,48000,105,123,82
26,Aluminum Alloy,545,3170,1510,1490,46500,110,128,84
27,Steel,585,3120,1530,1510,42500,117,131,87
28,Titanium Alloy,495,3260,1470,1450,57500,99,118,77
29,Carbon Fiber,525,3210,1495,1475,47500,108,124,82
30,Aluminum Alloy,550,3160,1515,1495,45500,114,129,85
31,Steel,590,3110,1535,1515,41500,120,133,89
32,Titanium Alloy,500,3290,1465,1445,57000,100,117,76
33,Carbon Fiber,530,3200,1500,1480,48000,110,125,83
34,Aluminum Alloy,560,3150,1520,1500,46000,115,130,86
35,Steel,610,3080,1560,1540,39000,130,140,95
36,Titanium Alloy,470,3350,1440,1420,60000,90,110,70
37,Carbon Fiber,515,3240,1475,1455,48500,106,122,80
38,Aluminum Alloy,530,3190,1505,1485,47000,108,126,82
39,Steel,575,3140,1525,1505,42500,117,131,87
40,Titanium Alloy,490,3270,1470,1450,56000,98,118,77
41,Carbon Fiber,520,3220,1490,1470,48000,105,123,82
42,Aluminum Alloy,545,3170,1510,1490,46500,110,128,84
43,Steel,585,3120,1530,1510,42500,117,131,87
44,Titanium Alloy,495,3260,1470,1450,57500,99,118,77
45,Carbon Fiber,525,3210,1495,1475,47500,108,124,82
46,Aluminum Alloy,550,3160,1515,1495,45500,114,129,85
47,Steel,590,3110,1535,1515,41500,120,133,89
48,Titanium Alloy,500,3290,1465,1445,57000,100,117,76
49,Carbon Fiber,530,3200,1500,1480,48000,110,125,83
50,Aluminum Alloy,560,3150,1520,1500,46000,115,130,86
51,Steel,610,3080,1560,1540,39000,130,140,95
52,Titanium Alloy,470,3350,1440,1420,60000,90,110,70
53,Carbon Fiber,515,3240,1475,1455,48500,106,122,80
54,Aluminum Alloy,530,3190,1505,1485,47000,108,126,82
55,Steel,575,3140,1525,1505,42500,117,131,87
56,Titanium Alloy,490,3270,1470,1450,56000,98,118,77
57,Carbon Fiber,520,3220,1490,1470,48000,105,123,82
58,Aluminum Alloy,545,3170,1510,1490,46500,110,128,84
59,Steel,585,3120,1530,1510,42500,117,131,87
60,Titanium Alloy,495,3260,1470,1450,57500,99,118,77
61,Carbon Fiber,525,3210,1495,1475,47500,108,124,82
62,Aluminum Alloy,550,3160,1515,1495,45500,114,129,85
63,Steel,590,3110,1535,1515,41500,120,133,89
64,Titanium Alloy,500,3290,1465,1445,57000,100,117,76
65,Carbon Fiber,530,3200,1500,1480,48000,110,125,83
66,Aluminum Alloy,560,3150,1520,1500,46000,115,130,86
67,Steel,610,3080,1560,1540,39000,130,140,95
68,Titanium Alloy,470,3350,1440,1420,60000,90,110,70
69,Carbon Fiber,515,3240,1475,1455,48500,106,122,80
70,Aluminum Alloy,530,3190,1505,1485,47000,108,126,82
71,Steel,575,3140,1525,1505,42500,117,131,87
